date,city,group,twin_pair,daily_sales
2025-01-01,San Francisco,Test,San Francisco / Seattle,10354.06
2025-01-02,San Francisco,Test,San Francisco / Seattle,9517.44
2025-01-03,San Francisco,Test,San Francisco / Seattle,9849.92
2025-01-04,San Francisco,Test,San Francisco / Seattle,11778.86
2025-01-05,San Francisco,Test,San Francisco / Seattle,11095.51
2025-01-06,San Francisco,Test,San Francisco / Seattle,9555.76
2025-01-07,San Francisco,Test,San Francisco / Seattle,10302.04
2025-01-08,San Francisco,Test,San Francisco / Seattle,9998.98
2025-01-09,San Francisco,Test,San Francisco / Seattle,9526.57
2025-01-10,San Francisco,Test,San Francisco / Seattle,9954.43
2025-01-11,San Francisco,Test,San Francisco / Seattle,11135.78
2025-01-12,San Francisco,Test,San Francisco / Seattle,11159.28
2025-01-13,San Francisco,Test,San Francisco / Seattle,9907.46
2025-01-14,San Francisco,Test,San Francisco / Seattle,9071.15
2025-01-15,San Francisco,Test,San Francisco / Seattle,9172.96
2025-01-16,San Francisco,Test,San Francisco / Seattle,9665.13
2025-01-17,San Francisco,Test,San Francisco / Seattle,9512.7
2025-01-18,San Francisco,Test,San Francisco / Seattle,11631.97
2025-01-19,San Francisco,Test,San Francisco / Seattle,11172.15
2025-01-20,San Francisco,Test,San Francisco / Seattle,9440.17
2025-01-21,San Francisco,Test,San Francisco / Seattle,10621.72
2025-01-22,San Francisco,Test,San Francisco / Seattle,9976.14
2025-01-23,San Francisco,Test,San Francisco / Seattle,10125.08
2025-01-24,San Francisco,Test,San Francisco / Seattle,9560.41
2025-01-25,San Francisco,Test,San Francisco / Seattle,11505.4
2025-01-26,San Francisco,Test,San Francisco / Seattle,11800.97
2025-01-27,San Francisco,Test,San Francisco / Seattle,9770.24
2025-01-28,San Francisco,Test,San Francisco / Seattle,10415.54
2025-01-29,San Francisco,Test,San Francisco / Seattle,10060.21
2025-01-30,San Francisco,Test,San Francisco / Seattle,10219.56
2025-01-31,San Francisco,Test,San Francisco / Seattle,10131.89
2025-02-01,San Francisco,Test,San Francisco / Seattle,12710.37
2025-02-02,San Francisco,Test,San Francisco / Seattle,12001.49
2025-02-03,San Francisco,Test,San Francisco / Seattle,10061.77
2025-02-04,San Francisco,Test,San Francisco / Seattle,10852.37
2025-02-05,San Francisco,Test,San Francisco / Seattle,10074.03
2025-02-06,San Francisco,Test,San Francisco / Seattle,10685.44
2025-02-07,San Francisco,Test,San Francisco / Seattle,9858.05
2025-02-08,San Francisco,Test,San Francisco / Seattle,11711.15
2025-02-09,San Francisco,Test,San Francisco / Seattle,12362.16
2025-02-10,San Francisco,Test,San Francisco / Seattle,11060.27
2025-02-11,San Francisco,Test,San Francisco / Seattle,10875.36
2025-02-12,San Francisco,Test,San Francisco / Seattle,10802.92
2025-02-13,San Francisco,Test,San Francisco / Seattle,10771.56
2025-02-14,San Francisco,Test,San Francisco / Seattle,11303.84
2025-02-15,San Francisco,Test,San Francisco / Seattle,12250.97
2025-02-16,San Francisco,Test,San Francisco / Seattle,12398.73
2025-02-17,San Francisco,Test,San Francisco / Seattle,11490.31
2025-02-18,San Francisco,Test,San Francisco / Seattle,11249.77
2025-02-19,San Francisco,Test,San Francisco / Seattle,10452.35
2025-02-20,San Francisco,Test,San Francisco / Seattle,11332.8
2025-02-21,San Francisco,Test,San Francisco / Seattle,11095.09
2025-02-22,San Francisco,Test,San Francisco / Seattle,12584.66
2025-02-23,San Francisco,Test,San Francisco / Seattle,13146.73
2025-02-24,San Francisco,Test,San Francisco / Seattle,11801.42
2025-02-25,San Francisco,Test,San Francisco / Seattle,11808.79
2025-02-26,San Francisco,Test,San Francisco / Seattle,11148.15
2025-02-27,San Francisco,Test,San Francisco / Seattle,11408.0
2025-02-28,San Francisco,Test,San Francisco / Seattle,11712.32
2025-03-01,San Francisco,Test,San Francisco / Seattle,13578.41
2025-03-02,San Francisco,Test,San Francisco / Seattle,13045.16
2025-03-03,San Francisco,Test,San Francisco / Seattle,11651.43
2025-03-04,San Francisco,Test,San Francisco / Seattle,11332.26
2025-03-05,San Francisco,Test,San Francisco / Seattle,11345.62
2025-03-06,San Francisco,Test,San Francisco / Seattle,12198.63
2025-03-07,San Francisco,Test,San Francisco / Seattle,12465.81
2025-03-08,San Francisco,Test,San Francisco / Seattle,13504.39
2025-03-09,San Francisco,Test,San Francisco / Seattle,13984.65
2025-03-10,San Francisco,Test,San Francisco / Seattle,12218.09
2025-03-11,San Francisco,Test,San Francisco / Seattle,11865.72
2025-03-12,San Francisco,Test,San Francisco / Seattle,12318.79
2025-03-13,San Francisco,Test,San Francisco / Seattle,12840.02
2025-03-14,San Francisco,Test,San Francisco / Seattle,12261.15
2025-03-15,San Francisco,Test,San Francisco / Seattle,14512.1
2025-03-16,San Francisco,Test,San Francisco / Seattle,12889.19
2025-03-17,San Francisco,Test,San Francisco / Seattle,12756.75
2025-03-18,San Francisco,Test,San Francisco / Seattle,12513.77
2025-03-19,San Francisco,Test,San Francisco / Seattle,12410.34
2025-03-20,San Francisco,Test,San Francisco / Seattle,12617.67
2025-03-21,San Francisco,Test,San Francisco / Seattle,11836.97
2025-03-22,San Francisco,Test,San Francisco / Seattle,14155.16
2025-03-23,San Francisco,Test,San Francisco / Seattle,14436.9
2025-03-24,San Francisco,Test,San Francisco / Seattle,13376.21
2025-03-25,San Francisco,Test,San Francisco / Seattle,12628.7
2025-03-26,San Francisco,Test,San Francisco / Seattle,12563.51
2025-03-27,San Francisco,Test,San Francisco / Seattle,12737.05
2025-03-28,San Francisco,Test,San Francisco / Seattle,13354.68
2025-03-29,San Francisco,Test,San Francisco / Seattle,14730.7
2025-03-30,San Francisco,Test,San Francisco / Seattle,14437.87
2025-03-31,San Francisco,Test,San Francisco / Seattle,13345.54
2025-04-01,San Francisco,Test,San Francisco / Seattle,13229.4
2025-04-02,San Francisco,Test,San Francisco / Seattle,13628.22
2025-04-03,San Francisco,Test,San Francisco / Seattle,13009.98
2025-04-04,San Francisco,Test,San Francisco / Seattle,13209.62
2025-04-05,San Francisco,Test,San Francisco / Seattle,14793.54
2025-04-06,San Francisco,Test,San Francisco / Seattle,14414.49
2025-04-07,San Francisco,Test,San Francisco / Seattle,13607.65
2025-04-08,San Francisco,Test,San Francisco / Seattle,13642.73
2025-04-09,San Francisco,Test,San Francisco / Seattle,13589.22
2025-04-10,San Francisco,Test,San Francisco / Seattle,13541.97
2025-04-11,San Francisco,Test,San Francisco / Seattle,13118.04
2025-04-12,San Francisco,Test,San Francisco / Seattle,15124.05
2025-04-13,San Francisco,Test,San Francisco / Seattle,15203.07
2025-04-14,San Francisco,Test,San Francisco / Seattle,13506.81
2025-04-15,San Francisco,Test,San Francisco / Seattle,13810.47
2025-04-16,San Francisco,Test,San Francisco / Seattle,14083.56
2025-04-17,San Francisco,Test,San Francisco / Seattle,14723.05
2025-04-18,San Francisco,Test,San Francisco / Seattle,14084.71
2025-04-19,San Francisco,Test,San Francisco / Seattle,15723.85
2025-04-20,San Francisco,Test,San Francisco / Seattle,15636.66
2025-04-21,San Francisco,Test,San Francisco / Seattle,13384.17
2025-04-22,San Francisco,Test,San Francisco / Seattle,14185.93
2025-04-23,San Francisco,Test,San Francisco / Seattle,14265.11
2025-04-24,San Francisco,Test,San Francisco / Seattle,15270.39
2025-04-25,San Francisco,Test,San Francisco / Seattle,14251.81
2025-04-26,San Francisco,Test,San Francisco / Seattle,16052.62
2025-04-27,San Francisco,Test,San Francisco / Seattle,15960.93
2025-04-28,San Francisco,Test,San Francisco / Seattle,13989.72
2025-04-29,San Francisco,Test,San Francisco / Seattle,14956.25
2025-04-30,San Francisco,Test,San Francisco / Seattle,14841.35
2025-05-01,San Francisco,Test,San Francisco / Seattle,14897.99
2025-05-02,San Francisco,Test,San Francisco / Seattle,14258.33
2025-05-03,San Francisco,Test,San Francisco / Seattle,16783.23
2025-05-04,San Francisco,Test,San Francisco / Seattle,15700.89
2025-05-05,San Francisco,Test,San Francisco / Seattle,14975.39
2025-05-06,San Francisco,Test,San Francisco / Seattle,15655.32
2025-05-07,San Francisco,Test,San Francisco / Seattle,14420.9
2025-05-08,San Francisco,Test,San Francisco / Seattle,14628.02
2025-05-09,San Francisco,Test,San Francisco / Seattle,14931.29
2025-05-10,San Francisco,Test,San Francisco / Seattle,16286.37
2025-05-11,San Francisco,Test,San Francisco / Seattle,15903.27
2025-05-12,San Francisco,Test,San Francisco / Seattle,15026.16
2025-05-13,San Francisco,Test,San Francisco / Seattle,14608.44
2025-05-14,San Francisco,Test,San Francisco / Seattle,15256.84
2025-05-15,San Francisco,Test,San Francisco / Seattle,14733.08
2025-05-16,San Francisco,Test,San Francisco / Seattle,15753.67
2025-05-17,San Francisco,Test,San Francisco / Seattle,16412.63
2025-05-18,San Francisco,Test,San Francisco / Seattle,16628.72
2025-05-19,San Francisco,Test,San Francisco / Seattle,15553.95
2025-05-20,San Francisco,Test,San Francisco / Seattle,14766.56
2025-05-21,San Francisco,Test,San Francisco / Seattle,15379.62
2025-05-22,San Francisco,Test,San Francisco / Seattle,15840.59
2025-05-23,San Francisco,Test,San Francisco / Seattle,14703.18
2025-05-24,San Francisco,Test,San Francisco / Seattle,17007.81
2025-05-25,San Francisco,Test,San Francisco / Seattle,17065.03
2025-05-26,San Francisco,Test,San Francisco / Seattle,16940.26
2025-05-27,San Francisco,Test,San Francisco / Seattle,14958.54
2025-05-28,San Francisco,Test,San Francisco / Seattle,14950.25
2025-05-29,San Francisco,Test,San Francisco / Seattle,15711.63
2025-05-30,San Francisco,Test,San Francisco / Seattle,15645.39
2025-05-31,San Francisco,Test,San Francisco / Seattle,17209.84
2025-06-01,San Francisco,Test,San Francisco / Seattle,17270.57
2025-06-02,San Francisco,Test,San Francisco / Seattle,15321.63
2025-06-03,San Francisco,Test,San Francisco / Seattle,15707.49
2025-06-04,San Francisco,Test,San Francisco / Seattle,15752.05
2025-06-05,San Francisco,Test,San Francisco / Seattle,15368.61
2025-06-06,San Francisco,Test,San Francisco / Seattle,16419.47
2025-06-07,San Francisco,Test,San Francisco / Seattle,17440.78
